sample_idx,influence_epoch_0,influence_epoch_1,influence_epoch_2,influence_epoch_3,influence_epoch_4,influence_epoch_5,influence_epoch_6,influence_epoch_7,influence_epoch_8,influence_epoch_9,influence_epoch_10,influence_epoch_11,influence_epoch_12,influence_epoch_13,influence_epoch_14,influence_epoch_15,influence_epoch_16,influence_epoch_17,influence_epoch_18,influence_epoch_19,influence_epoch_20
0,4.084091114124397e-06,4.080001456592179e-06,4.025261850345717e-06,3.911879753816685e-06,3.848706838492694e-06,3.8166053168175835e-06,3.824751196567264e-06,3.8338459229054045e-06,3.8080995342670676e-06,3.819555875846574e-06,3.839982348715136e-06,3.724085885592655e-06,3.7379588413438193e-06,3.6951828881188467e-06,3.7110485174767045e-06,3.7261813774785576e-06,3.6178495757300165e-06,3.592022576028709e-06,3.5754332451881695e-06,3.5567639251292427e-06,3.5350583475196916e-06
1,1.3120663769907413e-05,1.190990974516657e-05,1.163116869672229e-05,1.1024524792635815e-05,1.0076919683599094e-05,9.845263150330223e-06,9.148614476285058e-06,9.150132557892945e-06,9.129974353693201e-06,8.830635556681724e-06,8.600898666845447e-06,8.393221736037381e-06,5.465061532307109e-06,4.941866263334455e-06,4.811301485944636e-06,4.216630631535065e-06,3.9555538329951825e-06,3.979906418749313e-06,3.615625412940461e-06,3.522487354697209e-06,3.252180593038403e-06
2,4.219795330503647e-06,4.217452099040043e-06,4.158074318237674e-06,3.995110494038251e-06,3.897725398558982e-06,3.849624245860615e-06,3.857839031245273e-06,3.8670447189458565e-06,3.82461454145721e-06,3.836620965066453e-06,3.829924043497363e-06,3.6782723625218777e-06,3.6927862252227056e-06,3.636852133382158e-06,3.652537416172604e-06,3.6678779952204267e-06,3.5395516135566142e-06,3.4945928483978965e-06,3.461738583074908e-06,3.42592159220793e-06,3.3863676168121904e-06
3,3.907802469428309e-06,3.903544613528397e-06,3.844620844102377e-06,3.7206395155753097e-06,3.6497642343607728e-06,3.6121698105501342e-06,3.620341533427132e-06,3.6293306653071065e-06,3.601910329146973e-06,3.6136998868571783e-06,3.6331079047234156e-06,3.5071517929168006e-06,3.522123558535585e-06,3.4708468669710947e-06,3.4872119809787225e-06,3.5034488324967e-06,3.401449258288356e-06,3.3721993536847386e-06,3.354437769225953e-06,3.3341362927919342e-06,3.3088959745070587e-06
4,9.592970220740466e-06,8.759782497859157e-06,8.003646117946846e-06,7.346076877658191e-06,7.241235839707801e-06,6.789772921496572e-06,5.3489772652171225e-06,5.1413319355666326e-06,5.817561602718333e-06,6.525673023972579e-06,7.079218335467716e-06,6.758896304170438e-06,6.889521062267011e-06,7.003176426007129e-06,7.361468342686393e-06,6.846328517453821e-06,6.3149285821870384e-06,6.394996371982996e-06,6.1823382552307975e-06,6.217868405759324e-06,6.760171204821949e-06
5,5.568543986040354e-06,5.5478513285389056e-06,2.4640159815221696e-05,2.5119619829523974e-05,2.57141509851225e-05,2.5531197328674742e-05,2.636341862551402e-05,2.743773165583707e-05,2.749096124995611e-05,2.6961679271551044e-05,2.6813313633403085e-05,2.6721124153254728e-05,2.6498311491614416e-05,2.6293087765058635e-05,2.5983529626039302e-05,2.606854498053263e-05,2.568064434375416e-05,2.525614199853603e-05,2.476739242531564e-05,2.4220765626047202e-05,2.370098314186337e-05
6,8.448872368470553e-06,8.552232740703373e-06,8.627043556932542e-06,8.762699819763747e-06,2.973808015057095e-05,2.9398603434094826e-05,3.028078049856032e-05,3.090183071789294e-05,3.082444256766265e-05,3.0187729444778276e-05,2.9783404989127855e-05,2.9458582924101507e-05,2.8922225757874992e-05,2.8607322499987516e-05,2.8481802799888968e-05,2.8412961582488895e-05,2.787321384554833e-05,2.725390469496134e-05,2.6683569561380794e-05,2.6279101042729827e-05,2.5689785389124972e-05
7,3.023882484234559e-05,2.9962410068805086e-05,3.0188867256171713e-05,3.012559900984455e-05,2.9984031069876946e-05,2.9268685745997853e-05,2.9706023215606873e-05,2.9837948645743583e-05,2.130165565252352e-05,2.0759179083827285e-05,2.031245928354271e-05,2.0201773000366796e-05,1.9885620777749372e-05,1.9616158085133264e-05,1.9962301891420614e-05,1.9804875770484817e-05,1.9508724226583056e-05,1.9196406906057125e-05,1.886490120405498e-05,1.843695146692618e-05,1.7993321870695894e-05
8,2.425575896377539e-05,2.4926889331589973e-05,2.5912084926223208e-05,2.6570697656278564e-05,2.726240049036048e-05,2.7089710153265238e-05,2.811214434695254e-05,2.8807583671902223e-05,2.867072639881852e-05,2.8069320646500334e-05,2.7569777042974547e-05,2.7234420835941985e-05,2.6648515756620557e-05,2.642730847477174e-05,2.6277514208113697e-05,2.6225682714790307e-05,2.5871823700583226e-05,2.531169064783094e-05,2.554487699288467e-05,2.517459245337071e-05,2.454724031970359e-05
9,5.694832982977508e-07,5.688046804534267e-07,5.408061827977694e-07,1.6365884735039506e-05,1.6540632535644953e-05,1.6799059038527908e-05,1.7742016878107995e-05,1.8745842425763687e-05,1.8362421444715008e-05,1.7347438673678273e-05,1.6715203513400673e-05,1.678948093232438e-05,1.6448772912845955e-05,1.621535846650632e-05,1.5763087311153565e-05,1.59114883264204e-05,1.5694466457219475e-05,1.5471349808243215e-05,1.5243694928330768e-05,1.4820781707934952e-05,1.417892274240643e-05
10,1.9167856334472846e-05,1.9030202262737e-05,1.8540309176250508e-05,1.8522985111940297e-05,1.860812696573198e-05,1.802868240186613e-05,1.831406766859954e-05,1.762603022916778e-05,1.711569536586219e-05,1.683339546112427e-05,4.043053684283848e-05,3.988606689632112e-05,3.8546881981004804e-05,3.7211882880349185e-05,3.62071758126869e-05,3.605722579625995e-05,3.521498409397742e-05,3.391668065805798e-05,3.29659365842864e-05,3.2212917647273106e-05,3.129461472698013e-05
11,1.2993867310480283e-05,1.1883530391788653e-05,1.1670195403428078e-05,1.1048420237756304e-05,1.0137597569752015e-05,9.914609015890412e-06,9.272935335927534e-06,9.27099831767332e-06,9.249612176210854e-06,8.99870056262679e-06,8.696312720133705e-06,8.543973085042317e-06,8.555736833503338e-06,8.001742639778129e-06,7.876368351583375e-06,7.301460413233733e-06,7.0044876997557135e-06,7.005021273262098e-06,6.6304861568928545e-06,6.510173115912202e-06,6.270192197836994e-06
12,4.155181840655714e-06,4.151085491747732e-06,4.0975618138036266e-06,3.972649050957954e-06,3.89854045228264e-06,3.861738087395112e-06,3.868992377216122e-06,3.877932082718376e-06,3.846996134021795e-06,3.857936975424162e-06,3.873431086600405e-06,3.7442574347512156e-06,3.7586184825204588e-06,3.7104097132998095e-06,3.7258593851669842e-06,3.741411098759088e-06,3.6345713204427446e-06,3.6021159866526897e-06,3.584152020299545e-06,3.562163479920358e-06,3.5349897641427367e-06
13,4.4391963572816835e-05,4.4016881624700876e-05,4.4220263157753015e-05,4.394318520924993e-05,4.3663449353116706e-05,4.273223426497809e-05,4.32965942403837e-05,4.3563482347398184e-05,4.268418050349011e-05,4.116545099165255e-05,3.933856001316424e-05,2.8264600489614463e-05,2.7806476073767794e-05,2.736677395370673e-05,2.6999366782893005e-05,2.6803780604552217e-05,2.6303945890314553e-05,2.5788519648301587e-05,2.5277027236924378e-05,2.4640924401565675e-05,2.395700407789224e-05
14,3.7834296271768737e-06,3.7829517851789204e-06,3.726063997245008e-06,3.590604957123386e-06,3.5140026538695127e-06,3.4737402476942022e-06,3.4857872875535334e-06,3.499458624400795e-06,3.4709050673819915e-06,3.4874509191237714e-06,3.5060551447516686e-06,3.3726678515762203e-06,3.3911037463488e-06,3.3391358859054397e-06,3.3592838498775206e-06,3.3788192831068624e-06,3.265532978457193e-06,3.2360588026195602e-06,3.215270205368377e-06,3.190828093039261e-06,3.163327574767339e-06
15,3.769072532493084e-06,3.7737816031918196e-06,3.7770446513224297e-06,3.616475038178121e-06,3.47294682913811e-06,3.412027259831379e-06,3.4455806019580704e-06,3.4671782487656537e-06,3.431525830465623e-06,3.439151319670488e-06,3.435227643717091e-06,3.2948508756618366e-06,4.986791783819938e-07,4.763326298242011e-07,4.95506204739852e-07,5.14542468133944e-07,5.336532265970861e-07,4.881038480960776e-07,4.7088729060659197e-07,4.895980974738389e-07,5.08311160065295e-07
