epoch,test_accuracy,train_loss_avg
-1,0.5,
0,0.7319288444519043,0.6435933951870538
1,0.8299999642372131,0.6435933951870538
2,0.8599999666213989,0.5124189070775174
3,0.8699999570846558,0.48143923956376966
4,0.8899999570846558,0.46354157019231934
5,0.8899999666213989,0.44861108568147756
6,0.8999999666213989,0.44861108568147756
7,0.8999999666213989,0.44861108568147756
