seed,method,pearson,spearman,kendall,jaccard_top30pct
13,dve,0.7129533556864726,0.7497711146715494,0.5372549019607844,0.5247524752475248
12,icml,0.7031107104124033,0.6561663138017853,0.48400735294117647,0.3050847457627119
12,lava,0.03506942605673678,0.18357962348363466,0.12653186274509803,0.25203252032520324
12,loo,1.0,0.9999999999999998,1.0,1.0
12,tim,0.894842106632611,0.8229514763103684,0.6443014705882354,0.5247524752475248
12,dve,0.4229045666277819,0.0005865186541542687,-0.013541666666666667,0.06944444444444445
15,tim,0.9177606594314724,0.8828319700646688,0.7268187319898746,0.6739130434782609
15,lava,0.05653935675619631,0.23575014229338864,0.16817046831734692,0.3162393162393162
15,icml,0.6824703593805145,0.5443745251299235,0.3922547833607201,0.3050847457627119
15,loo,1.0,1.0,0.9999999999999999,1.0
15,dve,0.5003827339701253,0.4150857631690962,0.2994837543818667,0.24193548387096775
3,tim,0.9692469538758522,0.9700761043717097,0.8668504901960785,0.8554216867469879
3,loo,1.0,0.9999999999999998,1.0,1.0
3,dve,0.6451985761253881,0.6696633955138475,0.4966911764705883,0.49514563106796117
3,icml,0.8659025224920724,0.8310153925383381,0.6161764705882354,0.7111111111111111
3,lava,-0.14967768506045143,-0.0878469043259327,-0.05882352941176471,0.16666666666666666
16,tim,0.5751946850399519,0.7373776894026092,0.5479166666666667,0.4392523364485981
16,loo,1.0,0.9999999999999998,1.0,1.0
16,lava,-0.05501173375223169,-0.0696304932478828,-0.04852941176470589,0.14925373134328357
16,icml,0.3799729526533079,0.4500336175326161,0.3044730392156863,0.25203252032520324
16,dve,0.023768257670809395,0.2647580968184939,0.1928308823529412,0.11594202898550725
2,tim,0.9120376581917162,0.8897237640192263,0.7210171568627451,0.5555555555555556
2,loo,1.0,0.9999999999999998,1.0,1.0
2,dve,0.2987814323487116,0.270662623025864,0.18008578431372552,0.1937984496124031
2,lava,0.16529494696999686,0.21511930647745478,0.14650735294117648,0.2222222222222222
2,icml,0.49382227707487253,0.31997882810711825,0.22775735294117652,0.26229508196721313
14,tim,0.9694551492201321,0.9726389047837033,0.8634191176470589,0.8333333333333334
14,loo,0.9999999999999999,0.9999999999999998,1.0,1.0
14,icml,-0.010778510122399255,-0.13884327077134354,-0.08566176470588237,0.06944444444444445
14,lava,0.031369550598958164,0.10297193293659873,0.06881127450980393,0.1323529411764706
14,dve,0.764943795670991,0.7116237983520255,0.5022671568627451,0.4528301886792453
1,lava,-0.01605029016496853,-0.09175440604257266,-0.05949754901960785,0.12408759124087591
1,icml,0.6715795316535326,0.7102025635156785,0.5136029411764707,0.2833333333333333
1,tim,0.8398268090710937,0.8377753776607918,0.6650122549019608,0.42592592592592593
1,loo,0.9999999999999999,0.9999999999999998,1.0,1.0
1,dve,-0.09278494833395252,-0.1059424353398947,-0.07549019607843138,0.04054054054054054
9,dve,0.46674051047346243,0.4180468928816662,0.28750000000000003,0.2222222222222222
9,tim,0.9777117946462609,0.9757138361181045,0.8668504901960785,0.8333333333333334
9,loo,1.0,0.9999999999999998,1.0,1.0
9,icml,0.6172318932072982,0.5166435397116044,0.3634803921568628,0.2833333333333333
9,lava,-0.023720993779480025,0.08990830281528953,0.06348039215686276,0.3050847457627119
8,dve,0.8326460862291932,0.8750514991989014,0.6954656862745099,0.7906976744186046
8,lava,0.12843168826091386,0.15845302128633554,0.10330882352941179,0.1323529411764706
8,icml,0.5980494855414439,0.719360837720302,0.5010416666666667,0.26229508196721313
8,tim,0.8238549502382078,0.9212183852140077,0.766482843137255,0.54
8,loo,0.9999999999999998,0.9999999999999998,1.0,1.0
5,loo,1.0,0.9999999999999998,1.0,1.0
5,tim,0.9668654350457374,0.9641172178988325,0.8365808823529413,0.7303370786516854
5,dve,0.7738536729964621,0.7634455825131609,0.5331495098039216,0.6739130434782609
5,icml,0.6380413537433162,0.6423130292973219,0.4488970588235295,0.375
5,lava,0.21864601078446416,0.33051256008239865,0.22101715686274515,0.38738738738738737
4,loo,1.0,0.9999999999999998,1.0,1.0
4,tim,0.9192592763924321,0.8584716182192721,0.7003676470588236,0.5555555555555556
4,dve,0.49186036508731207,0.112821154726482,0.07052696078431374,0.1079136690647482
4,lava,-0.15774738208124117,-0.014964093614099335,-0.012377450980392158,0.17557251908396945
4,icml,0.6480530202249092,0.5817499713893338,0.4344975490196079,0.4807692307692308
10,loo,0.9999999999999998,0.9999999999999998,1.0,1.0
10,tim,0.967693775796652,0.9807571812771799,0.8863970588235295,0.7906976744186046
10,dve,0.8361397193796711,0.7929288738841838,0.5751225490196079,0.6382978723404256
10,lava,-0.23595263285739837,-0.37144941634241235,-0.2360294117647059,0.02666666666666667
10,icml,0.17297678082994802,0.1799889848935683,0.13400735294117647,0.2222222222222222
11,loo,1.0,0.9999999999999998,1.0,1.0
11,tim,0.9613952679567095,0.9575238899061569,0.8355392156862745,0.9012345679012346
11,dve,0.1557755955936111,0.20682722018768593,0.16623774509803924,0.17557251908396945
11,icml,0.8394314842371658,0.8070317864499885,0.6197916666666667,0.7303370786516854
11,lava,-0.20180080681613066,-0.2542658503089951,-0.17230392156862748,0.1079136690647482
6,loo,1.0,0.9999999999999998,1.0,1.0
6,icml,0.8973165242811516,0.8947878519111925,0.7104166666666667,0.5714285714285714
6,lava,0.13821907029647057,0.16193422407873653,0.11758578431372552,0.2727272727272727
6,tim,0.923146330025032,0.9350087262531469,0.7920955882352942,0.5714285714285714
6,dve,0.8300111943150594,0.8662658789196611,0.6575980392156864,0.6041666666666666
7,loo,1.0,0.9999999999999998,1.0,1.0
7,lava,-0.12497537394975788,-0.0633239871824216,-0.04111519607843138,0.15789473684210525
7,icml,0.3573355211215379,0.28276708056763555,0.19963235294117648,0.203125
7,tim,0.773534378870235,0.7379913881895169,0.5616421568627451,0.49514563106796117
7,dve,0.28136472865629586,0.24585359922178984,0.16145833333333334,0.1937984496124031
