method,seed_count,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std,jaccard_top30pct_mean,jaccard_top30pct_std
dve,4,0.5791882018431588,0.11905337775193627,0.4875756394483863,0.2870409892650493,0.34799325980392165,0.21492480947706846,0.33750849940061406,0.20486945729242237
icml,4,0.7505681321255582,0.1367653222796498,0.6954750443465323,0.17121076830636012,0.5193780637254903,0.14330491295123268,0.5240665766981557,0.18638589656993454
lava,4,-0.07380918473269915,0.09547884217042116,0.029062356946669712,0.09887078115704226,0.02130821078431373,0.06944386248434545,0.21738653843389255,0.06333844807242248
loo,4,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0
tim,4,0.96110744488229,0.028200370299669188,0.9448100251773859,0.05761330926062816,0.8268995098039216,0.08441331197389366,0.7805898390309205,0.15112947609362057
