epoch,pearson,spearman,kendall,jaccard_top30pct
0,0.9969403484323107,0.9981281444965356,0.9834538620257434,0.9743589743589743
1,0.994044369963983,0.9973397430798008,0.9719503051151759,0.9493670886075949
2,0.9891697151138812,0.9954332004308211,0.9533540649719229,0.9493670886075949
3,0.9814190793523435,0.9887765701491793,0.931662556214648,0.8780487804878049
4,0.9771735853060209,0.9846923968393232,0.9143216042985214,0.8780487804878049
5,0.9781210356667628,0.9818990980127293,0.9000275747966425,0.8554216867469879
6,0.9804594017460173,0.9807915140764476,0.8943627450980394,0.8554216867469879
7,0.9725744082312962,0.9755663080021162,0.8765146525944577,0.8117647058823529
8,0.9765370742664836,0.9770730092733988,0.8782572737801128,0.8117647058823529
9,0.9739215961460017,0.9684150707425822,0.8580094671574604,0.7303370786516854
10,0.9729674420453672,0.9692862656797809,0.8616247186170063,0.7906976744186046
11,0.9718618416955812,0.9660756179903867,0.8493872549019609,0.7906976744186046
12,0.9628657375527208,0.9601310368505378,0.8364583333333334,0.7701149425287356
13,0.9621914456592009,0.9616524090180817,0.8377450980392158,0.8117647058823529
14,0.9606608693291937,0.9603205825131608,0.8362745098039217,0.8117647058823529
15,0.9607013947515214,0.9596739814602882,0.8357230392156862,0.7906976744186046
16,0.9625200349008536,0.9630765049210344,0.843014705882353,0.7906976744186046
17,0.9595983256109888,0.960435025177386,0.8398284313725491,0.8117647058823529
18,0.9603505229039857,0.9600124742526464,0.8384625990965264,0.7906976744186046
19,0.9610941476577094,0.9598692492561226,0.8379901960784315,0.8117647058823529
20,0.9635663603109549,0.9612611581597619,0.8408088235294119,0.8117647058823529
