method,epoch,seed_count,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std,jaccard_top30pct_mean,jaccard_top30pct_std
dve,-1,4,0.5791882018431588,0.11905337775193627,0.4875756394483863,0.2870409892650493,0.34799325980392165,0.21492480947706846,0.33750849940061406,0.20486945729242237
dve,0,4,0.3272012267729133,0.20983038875860222,0.2708223919354656,0.1822166955305765,0.1820924004651447,0.12302673969339342,0.2545554338848636,0.09266601371952504
dve,1,4,0.36870103354100564,0.2377799238746598,0.3248443795521603,0.20709904650427707,0.22131850272932418,0.14152019943459754,0.2716719829937394,0.1081536401448469
dve,2,4,0.3871984737734442,0.23057672289710116,0.33942726768462894,0.21207086409015405,0.2308457953286251,0.14724666960762306,0.2638922681805893,0.12637853414906106
dve,3,4,0.4070297272795087,0.2077373409133069,0.3435542292123092,0.21512801431959358,0.23217623099839857,0.15168303461279378,0.2603502806476687,0.15217739294609084
dve,4,4,0.41558874922866273,0.19128211895839448,0.35135845304382085,0.23028422672976187,0.2383617744538054,0.1613151464232164,0.2754081563314633,0.16755689557691222
dve,5,4,0.445794870094848,0.18642941364841886,0.38044379087315505,0.2408380544563887,0.2600150806818711,0.17022936346325185,0.2863723956374719,0.1845101564500102
dve,6,4,0.4885534921257254,0.1691818189314503,0.4207655955894902,0.2339441763093187,0.2885145386416013,0.16604253490712859,0.2905939758222462,0.17621350258107568
dve,7,4,0.5052469328252356,0.1713447574580534,0.43338725371337256,0.25030502864979837,0.29808736522395685,0.1805590573984092,0.29362745098039217,0.19154313756601968
dve,8,4,0.5324139747286902,0.1742067985202553,0.45460784516695624,0.251064875642872,0.31523249282019117,0.18322688983709953,0.30861267730425046,0.20072123091727995
dve,9,4,0.5568802861354679,0.16011290874169362,0.47755134222185236,0.25615398562220204,0.3353828362000526,0.18953205019189487,0.3341506751954513,0.21774223884228947
dve,10,4,0.5807009760158668,0.14800380098048843,0.4974136259229653,0.267452691932403,0.35318053276716577,0.20235133832892868,0.3514803813185017,0.2300306732253709
dve,11,4,0.6028899108475249,0.1388855346641745,0.517484832190761,0.2744142738303,0.3699938705074279,0.2071190714584438,0.3623188405797102,0.2273099585704076
dve,12,4,0.620107501562636,0.14315493808996413,0.5296269889519589,0.2875684207539361,0.3811208665530848,0.2220209214184985,0.3747076023391813,0.25305329711745733
dve,13,4,0.6424429407564862,0.12702155768227133,0.5503399509004717,0.28318333016013536,0.39829112659600496,0.2212165067365663,0.39547029437138914,0.27432597336390996
dve,14,4,0.6670323900780375,0.11680664793400569,0.5715136334360358,0.27943281462767894,0.41666032300640765,0.22146381863257805,0.422020469674841,0.2843258237499304
dve,15,4,0.6865274133027113,0.10427426134426049,0.5905535203029083,0.2679523578654701,0.4326008895312502,0.21268180435775763,0.4319649356441036,0.29901983390182474
dve,16,4,0.7037671664332563,0.09154345327246974,0.6064356116960402,0.2547846636067984,0.44595588235294126,0.2056676768942461,0.43162832929782086,0.28687700949610456
dve,17,4,0.7097719187601994,0.08826490393373744,0.6133261686728778,0.25954162368919437,0.45154177731390943,0.2109823984695919,0.43465416414599717,0.30165620133549725
dve,18,4,0.7212592286170912,0.0788399807873462,0.6198632973687881,0.2475953692058176,0.45741721753498654,0.20268366225466478,0.4295299020845224,0.2993647438031929
dve,19,4,0.7351733213192817,0.06672077838864435,0.6376930700024364,0.21571967324820387,0.47081287112621323,0.18025880909253805,0.4385951435631459,0.2823410619137413
dve,20,4,0.7436668279300256,0.057413743009101605,0.6528205968263862,0.18873500276872188,0.48331039616710064,0.16044321582028181,0.44145468998410176,0.2773221970124047
icml,-1,4,0.7505681321255582,0.1367653222796498,0.6954750443465323,0.17121076830636012,0.5193780637254903,0.14330491295123268,0.5240665766981557,0.18638589656993454
icml,0,4,0.7724797004781636,0.1822561517670182,0.7150721662253734,0.2179243344955486,0.5435459679667798,0.18276267019792342,0.5591794265819403,0.21677902175006797
icml,1,4,0.7698765210783365,0.2033506527159665,0.7119034044630382,0.24568158314399097,0.5438367749713312,0.2041640117510351,0.5514797507788162,0.2744261441862502
icml,2,4,0.7626144345392248,0.20374277475766756,0.706984371690682,0.24307431056642292,0.5373989976606728,0.1977712957199967,0.5705000000000001,0.274872832550025
icml,3,4,0.7381097023340832,0.23402623752052154,0.6908904321964964,0.255026093959185,0.5258433165248766,0.19492516387239245,0.5621904868023573,0.28458457490151057
icml,4,4,0.7466725678846792,0.20120502308566837,0.6980965737156215,0.2139816275059653,0.5290911315642853,0.1614707335630218,0.5582889377816522,0.2323454540974075
icml,5,4,0.7424271799951445,0.18614917578322726,0.6992002211714452,0.19038679377719603,0.5272543049597184,0.14244434211043214,0.5669484069674373,0.22066935830538564
icml,6,4,0.7121437862642283,0.1854643420438754,0.6732629669808274,0.18459366364722588,0.5001944153250562,0.13275734768832054,0.5459236326109391,0.21264419648021746
icml,7,4,0.7148317711041645,0.1927296251443029,0.6802735492608158,0.18434432893317096,0.5052125214127796,0.13074313488380557,0.534281561461794,0.19194728174134737
icml,8,4,0.7181691262327062,0.17837956485698234,0.6801134347913663,0.17547878279028115,0.5035341570965928,0.12520708401260802,0.5263161859092527,0.1871966256305649
icml,9,4,0.7226419391711987,0.14509567268481174,0.6798072670850273,0.15183181167121784,0.4997712580169951,0.1110503727269478,0.5389185563441232,0.15040227937947342
icml,10,4,0.7509107584690399,0.0906266639335203,0.7111955697015366,0.10323101635984769,0.5241828178060272,0.07989512497308685,0.5400406418595354,0.1301260616863299
icml,11,4,0.7339908322614157,0.08573937649605802,0.6919632376207189,0.1064766400526047,0.5072802833836609,0.08505431386743788,0.5119123931623931,0.14185077342235441
icml,12,4,0.7213314737337679,0.07065107025608514,0.675023003887253,0.09695954242539812,0.4925184270919645,0.07439887641435651,0.4921024747060432,0.1277463179899176
icml,13,4,0.705894696065615,0.08172574621231368,0.652060975098778,0.11216564245832827,0.4740112356208316,0.08609153680403656,0.4828690012845955,0.13553641118675552
icml,14,4,0.6902933759151617,0.09622450997558982,0.6355738973786591,0.13028431213927952,0.4610842726838605,0.09991200255990203,0.470437383644955,0.16211330962131348
