epoch,pearson,spearman,kendall,jaccard_top30pct
0,0.20669573025690055,0.3736737149147147,0.20131143673694957,0.08450704225352113
1,0.20871918787782584,0.3670603794456386,0.19605680428811936,0.08450704225352113
2,0.2254855312683386,0.3646676807957544,0.19776650992684902,0.07692307692307693
3,0.2505179810110099,0.34151556804968214,0.17895494724751745,0.08450704225352113
4,0.24903639685626047,0.32831567727091915,0.1707440371529558,0.08450704225352113
5,0.24588447873514818,0.3107845440835287,0.16005392329580814,0.08450704225352113
6,0.2499324828404113,0.30633869306477446,0.15894607843137257,0.08450704225352113
7,0.25322912888733473,0.2990297942588802,0.15842767201111332,0.08450704225352113
8,0.2501255651871279,0.2876635927470191,0.1532239534684927,0.08450704225352113
9,0.24738814668158854,0.26316381451058557,0.14065779195571868,0.08450704225352113
10,0.26380367318912995,0.26749082089201703,0.1439053907244632,0.08450704225352113
11,0.2709903754076206,0.26387474250400544,0.14074754901960784,0.08450704225352113
12,0.28294054631104015,0.2495536736095216,0.13406862745098042,0.08450704225352113
13,0.2843641238274942,0.25395971618219265,0.13731617647058825,0.08450704225352113
14,0.2870631138870702,0.25872768368047605,0.14093137254901963,0.08450704225352113
15,0.28717410281870204,0.2558387216754406,0.13982843137254905,0.08450704225352113
16,0.28760747995745206,0.2585080968184939,0.14093137254901963,0.07692307692307693
17,0.2958071972191325,0.2630529011215381,0.1434436274509804,0.08450704225352113
18,0.3002173058841817,0.2640750643874256,0.14580492962693642,0.08450704225352113
19,0.3032560320600143,0.2675011444266422,0.1485906862745098,0.09219858156028368
20,0.30255007419386504,0.26528953994048976,0.14767156862745098,0.08450704225352113
