source,pearson,spearman,kendall,jaccard_top30pct
dve,0.8739729740421245,0.8347877088578621,0.631311274509804,0.8117647058823529
tim,0.9884882346229495,0.9792858777752343,0.893872549019608,0.9012345679012346
lava,0.27625750186141573,0.2726181620508125,0.14718137254901964,0.08450704225352113
icml,0.9301433109346227,0.8734106775005721,0.6799632352941177,0.6923076923076923
