source,epoch,pearson,spearman,kendall,jaccard_top30pct
tim,4,0.9771735853060209,0.9846923968393232,0.9143216042985214,0.9012345679012346
tim,5,0.9781210356667628,0.9818990980127293,0.9000275747966425,0.9012345679012346
tim,6,0.9804594017460173,0.9807915140764476,0.8943627450980394,0.9012345679012346
tim,7,0.9725744082312962,0.9755663080021162,0.8765146525944577,0.9012345679012346
tim,8,0.9765370742664836,0.9770730092733988,0.8782572737801128,0.8780487804878049
tim,9,0.9739215961460017,0.9684150707425822,0.8580094671574604,0.8780487804878049
tim,10,0.9729674420453672,0.9692862656797809,0.8616247186170063,0.8554216867469879
tim,11,0.9718618416955812,0.9660756179903867,0.8493872549019609,0.8554216867469879
tim,12,0.9628657375527208,0.9601310368505378,0.8364583333333334,0.8554216867469879
tim,13,0.9621914456592009,0.9616524090180817,0.8377450980392158,0.8117647058823529
tim,14,0.9606608693291937,0.9603205825131608,0.8362745098039217,0.7906976744186046
tim,15,0.9607013947515214,0.9596739814602882,0.8357230392156862,0.7906976744186046
tim,16,0.9625200349008536,0.9630765049210344,0.843014705882353,0.8117647058823529
tim,17,0.9595983256109888,0.960435025177386,0.8398284313725491,0.7701149425287356
tim,18,0.9603505229039857,0.9600124742526464,0.8384625990965264,0.75
tim,19,0.9610941476577094,0.9598692492561226,0.8379901960784315,0.7111111111111111
tim,20,0.9635663603109549,0.9612611581597619,0.8408088235294119,0.75
lava,0,0.8764264426011709,0.7982667975847254,0.5955536494869071,0.8117647058823529
lava,1,0.9352628972444439,0.82046343955948,0.6318192264242003,0.8333333333333334
lava,2,0.9465360839072506,0.8371953296623443,0.6544925322883206,0.8117647058823529
lava,3,0.946417726325876,0.869522954439113,0.6913001517424993,0.8117647058823529
lava,4,0.9372356547186357,0.8611309299649984,0.677839394589295,0.8333333333333334
lava,5,0.9365300532785837,0.8727500832392421,0.6925457278289524,0.8333333333333334
lava,6,0.9461211717806285,0.8909826333257037,0.7248774509803922,0.8333333333333334
lava,7,0.9359516292073404,0.8908005589095612,0.7232451974631574,0.8333333333333334
lava,8,0.9347238977806751,0.8952165793206822,0.7292113490768797,0.8333333333333334
lava,9,0.9175892103822165,0.8884865115884982,0.7169533847867072,0.8780487804878049
lava,10,0.9088810915816139,0.8755484084509624,0.6998575346644481,0.8554216867469879
lava,11,0.9002273055098581,0.8687530164141347,0.6886441275950095,0.8554216867469879
lava,12,0.8782302096967598,0.8467465548275871,0.6617237050809465,0.8554216867469879
lava,13,0.861974052153337,0.8313635184259114,0.6404203496515765,0.8117647058823529
lava,14,0.8540113991652044,0.8287601567864499,0.638357843137255,0.8117647058823529
lava,15,0.848494590212692,0.8205710688944837,0.6319240196078432,0.7906976744186046
lava,16,0.8424500473524847,0.8139950528573339,0.6251627629833237,0.8117647058823529
lava,17,0.8384457769916216,0.8092406745752652,0.6195866971728379,0.8117647058823529
lava,18,0.8370884980740272,0.8107947366369366,0.6189527865437053,0.7906976744186046
lava,19,0.8394326059313035,0.815992435338555,0.6258367929164594,0.8117647058823529
lava,20,0.8517974114049927,0.8307664797436484,0.6418504901960785,0.7906976744186046
icml,0,0.8073834412940046,0.8318981487450555,0.6403971122986677,0.7111111111111111
icml,1,0.8718880774118507,0.8365777548019314,0.6411140224611498,0.75
icml,2,0.8817443034299789,0.8357888739894979,0.6353344874288255,0.7906976744186046
icml,3,0.9004390821200908,0.8371632591059406,0.6382757089552357,0.7701149425287356
icml,4,0.9045076911349544,0.8188434887208818,0.609966451763538,0.6923076923076923
icml,5,0.9019114822622673,0.8203285292432034,0.6076166552072104,0.6739130434782609
icml,6,0.8996554373671144,0.803619964522774,0.5856617647058824,0.6382978723404256
icml,7,0.8916887898256836,0.8045914405097548,0.5813508173295059,0.6210526315789474
icml,8,0.8943056011035235,0.8127418384903168,0.5905602285753244,0.6210526315789474
icml,9,0.8921731338797972,0.8224716794589281,0.602429571602112,0.6210526315789474
icml,10,0.8880485137951913,0.8159495193317964,0.5931157034351465,0.6041666666666666
icml,11,0.8871379057811793,0.8209515907530326,0.6005514705882353,0.6382978723404256
icml,12,0.8816089053829095,0.8249771114671548,0.6068627450980393,0.6210526315789474
icml,13,0.8848064920507319,0.8361860551613639,0.6225490196078431,0.6041666666666666
icml,14,0.8845902305014709,0.8332641908903637,0.6186887254901962,0.5876288659793815
icml,15,0.8802023872491342,0.8310955024032959,0.6126225490196079,0.5876288659793815
icml,16,0.8812934103152148,0.8348048752574959,0.6186274509803923,0.6210526315789474
icml,17,0.8737800481306189,0.8201540684367131,0.5974264705882354,0.6041666666666666
icml,18,0.8706127550881662,0.8222603181256422,0.6016942662205094,0.5876288659793815
icml,19,0.8722900660794346,0.8267287994964522,0.6087009803921569,0.6210526315789474
icml,20,0.8674521260245665,0.8225630865186541,0.6050245098039216,0.5876288659793815
