method,pearson_mean,pearson_var,spearman_mean,spearman_var,kendall_mean,kendall_var,jaccard_top30pct_mean,jaccard_top30pct_var
dve,0.56418801724422,0.01691067784561329,0.4849444688221353,0.04616933546831095,0.34585298909521256,0.026850182365062893,0.3501457166657834,0.040793436220531616
icml,0.7046994867757022,0.017568080134769362,0.6502452525503593,0.022378059769878122,0.4816263574799039,0.01274560528403739,0.5009140190777259,0.03025515724667302
lava,-0.05878847557761371,0.008545298257417023,0.04619272404399151,0.009582291908123729,0.035559440683502336,0.004873622600485327,0.20924281565870567,0.004230117415544198
loo,1.0,1.6434602192104412e-32,0.9999999999999999,1.6434602192104412e-32,1.0,0.0,1.0,0.0
tim,0.9489040575064644,0.0011186568528143055,0.925103656198262,0.004964055792146003,0.8136713747395654,0.009247286695534115,0.7652641470384242,0.019050824137194316
