epoch,test_accuracy,val_loss,train_loss
-1,0.51025390625,0.710786759853363,0.0
0,0.62841796875,0.6441965103149414,0.6831360467169882
1,0.7255859375,0.5722553133964539,0.6617826000517932
2,0.767578125,0.5491124987602234,0.6504187438276995
3,0.79931640625,0.5213831067085266,0.640815606384853
4,0.791015625,0.5161116719245911,0.6368426213267699
5,0.80810546875,0.5055422782897949,0.6302483894696435
6,0.802734375,0.49557211995124817,0.6234995910498036
7,0.80029296875,0.4978002607822418,0.6170996772915519
8,0.775390625,0.5086796879768372,0.6090466759373835
9,0.7548828125,0.5171722173690796,0.6004382786406384
