epoch,test_accuracy,val_loss,train_loss
-1,0.517578125,0.6916401386260986,0.0
0,0.79443359375,0.5346291661262512,0.6664823789926414
1,0.837890625,0.4421702027320862,0.5811806905103886
2,0.849609375,0.4064260721206665,0.575630506502244
3,0.8515625,0.3994070291519165,0.5444937216665592
4,0.845703125,0.4599584937095642,0.6248855758376265
5,0.84619140625,0.46457433700561523,0.615921951565107
6,0.84326171875,0.43602293729782104,0.5770707813086208
7,0.8310546875,0.467854380607605,0.6165027544695711
8,0.8388671875,0.3941020965576172,0.5495271723647973
9,0.83642578125,0.48316043615341187,0.6033237175078019
