epoch,test_accuracy,train_loss
0,0.79443359375,0.6951676621118534
1,0.837890625,0.6505181416336582
2,0.849609375,0.6376102552586953
3,0.8515625,0.6313823569973027
4,0.845703125,0.634095266734434
5,0.84619140625,0.628829898551263
6,0.84326171875,0.6271266793692141
7,0.8310546875,0.6278673081480475
