epoch,test_loss,val_accuracy,train_loss_avg
0,0.710786759853363,0.51025390625,
1,0.6804069876670837,0.57470703125,0.6963514603557996
2,0.6305142641067505,0.7861328125,0.6879848431563005
3,0.5290922522544861,0.83837890625,0.6649968448909931
4,0.4928849935531616,0.849609375,0.6497334436280653
5,0.48513785004615784,0.849609375,0.643238601332996
6,0.47381502389907837,0.85205078125,0.638104789191857
7,0.46565181016921997,0.853515625,0.6310493510682136
8,0.463512659072876,0.85302734375,0.6251079799549188
9,0.45798465609550476,0.85595703125,0.6177899244357832
10,0.45247918367385864,0.8564453125,0.6104567781148944
