epoch,num_dropped,num_kept,num_relabelled,num_overlap_dropped,num_overlap_kept,overlap_ratio_kept,precision,recall,f1_score
0,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
1,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
2,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
3,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
4,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
5,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
6,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
7,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
8,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
9,1639,14745,4915,479,4436,0.9025432349949135,0.29225137278828556,0.09745676500508647,0.1461702776930119
