epoch,num_dropped,num_kept,num_relabelled,num_overlap_dropped,num_overlap_kept,overlap_ratio_dropped,overlap_ratio_kept,precision,recall,f1_score
0,1639,14745,4915,1128,3787,0.22950152594099696,0.7704984740590031,0.6882245271507016,0.22950152594099696,0.34421727189502593
1,1639,14745,4915,652,4263,0.13265513733468973,0.8673448626653103,0.39780353874313606,0.13265513733468973,0.19896246566981995
2,1639,14745,4915,1130,3785,0.2299084435401831,0.7700915564598169,0.689444783404515,0.2299084435401831,0.3448275862068966
3,1639,14745,4915,825,4090,0.167853509664293,0.832146490335707,0.5033557046979866,0.167853509664293,0.251754653646628
4,1639,14745,4915,694,4221,0.1412004069175992,0.8587995930824008,0.42342892007321536,0.1412004069175992,0.21177906621910284
5,1639,14745,4915,753,4162,0.15320447609359106,0.846795523906409,0.45942647956070776,0.15320447609359106,0.22978333841928597
6,1639,14745,4915,1095,3820,0.22278738555442523,0.7772126144455748,0.6680902989627822,0.22278738555442523,0.33414708574916085
7,1639,14745,4915,735,4180,0.14954221770091555,0.8504577822990844,0.448444173276388,0.14954221770091555,0.2242905096124504
8,1639,14745,4915,1079,3836,0.2195320447609359,0.7804679552390641,0.6583282489322758,0.2195320447609359,0.3292645712541959
9,1639,14745,4915,788,4127,0.16032553407934894,0.8396744659206511,0.4807809640024405,0.16032553407934894,0.2404638388770217
